CPU utilization (%),
1512712101,
1512712110,65.90018291
1512712140,59.05317093
1512712170,65.42850726
1512712200,60.59291843
1512712230,69.50790487
1512712260,51.37776943
1512712290,66.29920848
1512712320,56.31839409
1512712350,67.60438066
1512712380,59.01718836
1512712410,67.27393842
1512712440,49.79475139
1512712470,69.49724974
1512712500,61.43865197
1512712530,65.46369238
1512712560,54.89057299
1512712590,68.15082901
1512712620,48.85538805
1512712650,66.60259283
1512712680,56.91337996
1512712710,62.8321256
1512712740,60.38132221
1512712770,58.53189626
1512712800,64.07834787
1512712830,63.13049521
1512712860,66.26881673
1512712890,58.27686742
1512712920,68.12147866
1512712950,59.99277895
1512712980,72.66235215
1512713010,56.35336555
1512713040,71.26460095
1512713070,57.35529502
1512713100,71.01087932
1512713130,57.16521474
1512713160,69.90296769
1512713190,54.64580744
1512713220,75.36564576
1512713250,44.97984995
1512713280,74.40730934
1512713310,71.14224464
1512713340,68.37645745
1512713370,59.92849767
1512713400,70.87658572
1512713430,71.74698318
1512713460,69.22694785
1512713490,63.54611448
1512713520,43.04727686
1512713550,55.43457161
1512713580,71.40013724
1512713610,70.74939628
1512713640,68.35213276
1512713670,62.47751266
1512713700,29.67693405
1512713730,57.84074637
1512713760,70.63021445
1512713790,69.30426785
1512713820,65.60109428
1512713850,66.43519435
1512713880,38.46283564
1512713910,32.77329035
1512713940,34.60144971
1512713970,26.88878361
1512714000,50.83875699
1512714030,33.68909072
1512714060,43.29725907
1512714090,54.98695814
1512714120,43.04912617
1512714150,57.13369061
1512714180,40.22343803
1512714210,57.61379941
1512714240,36.75872024
1512714270,67.3337423
1512714300,36.51644887
1512714330,62.29333488
1512714360,43.0960223
1512714390,55.3899304
1512714420,46.50589834
1512714450,54.9568923
1512714480,51.25078656
1512714510,53.38196884
1512714540,69.75119185
1512714570,69.49482757
1512714600,68.12130178
1512714630,65.73601562
1512714660,46.59095966
1512714690,30.66315789
1512714720,62.71874916
1512714750,68.26480143
1512714780,70.73315172
1512714810,68.14274298
1512714840,61.70576725
1512714870,44.89902124
1512714900,42.62738561
1512714930,58.77718413
1512714960,70.2218815
1512714990,67.87336097
1512715020,67.64819107
1512715050,63.73381971
1512715080,42.62825982
1512715110,37.44779736
1512715140,58.8571503
1512715170,27.35093958
1512715200,68.06829237
1512715230,66.29750281
1512715260,66.31297539
1512715290,61.48226873
1512715320,16.24397789
1512715350,39.86848071
1512715380,43.17126545
1512715410,66.39321122
1512715440,68.3726591
1512715470,67.51770727
1512715500,64.94551254
1512715530,58.74501566
1512715560,45.35758383
1512715590,34.05761514
1512715620,65.48109451
1512715650,69.39194898
1512715680,68.25103319
1512715710,65.03446733
1512715740,55.55399299
1512715770,42.72737468
1512715800,40.74028616
1512715830,39.71138445
1512715860,32.92949934
1512715890,56.968522
1512715920,68.37726362
1512715950,67.91988867
1512715980,67.18270549
1512716010,63.50024483
1512716040,42.33094647
1512716070,35.8974871
1512716100,56.30908305
1512716130,50.72628086
1512716160,37.9900963
1512716190,16.47316525
1512716220,25.22235714
1512716250,67.09069874
1512716280,63.08650104
1512716310,68.73298216
1512716340,56.21781987
1512716370,61.80767667
1512716400,78.44924116
1512716430,63.15835309
1512716460,75.44606503
1512716490,53.32060831
1512716520,69.76301966
1512716550,59.70139531
1512716580,71.88466593
1512716610,51.91901724
1512716640,79.546801
1512716670,83.53693882
1512716700,29.49681963
1512716730,69.2388571
1512716760,64.03543879
1512716790,60.44106996
1512716820,68.24514687
1512716850,63.47276986
1512716880,66.79933972
1512716910,66.64657727
1512716940,62.02603225
1512716970,71.76405581
1512717000,70.98975175
1512717030,70.47110974
1512717060,76.65445386
1512717090,80.8057816
1512717120,73.1185621
1512717150,77.04748067
1512717180,66.97523623
1512717210,64.78812457
1512717240,69.43627993
1512717270,70.12834856
1512717300,53.27650506
1512717330,65.64422678
1512717360,58.01517674
1512717390,64.55631689
1512717420,62.1364156
1512717450,70.87823928
1512717480,28.2568781
1512717510,18.65267115
1512717540,72.62516703
1512717570,70.11811555
1512717600,64.63686425
1512717630,58.51775356
1512717660,70.11833635
1512717690,70.19826823
1512717720,65.10397178
1512717750,59.23969188
1512717780,63.32543029
1512717810,56.32690093
1512717840,58.50571137
1512717870,38.05695517
1512717900,74.40260236
1512717930,56.22563762
1512717960,78.35339356
1512717990,70.46705954
1512718020,71.07879225
1512718050,68.64343507
1512718080,66.93108577
1512718110,67.56323637
1512718140,64.03795357
1512718170,65.84373378
1512718200,58.68529529
1512718230,61.43346833
1512718260,79.61395704
1512718290,40.57467355
1512718320,74.94502978
1512718350,71.54626459
1512718380,69.76402399
1512718410,64.25281088
1512718440,61.59700919
1512718470,66.34794712
1512718500,61.10569208
1512718530,65.9826345
1512718560,52.19759437
1512718590,66.58206614
1512718620,58.46682845
1512718650,65.5968918
1512718680,62.27528024
1512718710,69.56967928
1512718740,51.51380336
1512718770,64.19178479
1512718800,57.37541093
1512718830,63.80286049
1512718860,57.16552017
1512718890,66.19299529
1512718920,48.89134279
1512718950,63.26489509
1512718980,68.89298187
1512719010,68.1936411
1512719040,59.65453982
1512719070,68.59837521
1512719100,
1512719130,
1512719160,
1512719190,
1512719220,
1512719250,
1512719280,
